County,CountyFIPS,Age Group (5-year),Age Sorting Variable,Sex,Total Population 2020,Total Population 2021,Total Population 2022,Total Population 2023,Total Population 2024,Total Population 2025
Columbia,13,60-64,13,Female,187.3755724,187.7732238,189.2117714,185.7731414,185.4739983,178.3
Columbia,13,65-69,14,Female,190.3977585,195.404583,199.0002346,194.8592409,200.7686177,195.36
Columbia,13,65-69,14,Male,175.2868017,172.8225963,171.3910107,171.7210522,173.8632589,169.3
Columbia,13,70-74,15,Male,152.1167216,156.1424464,161.3204102,165.7153553,163.2793647,162.26
Columbia,13,70-74,15,Female,149.0944639,155.022313,164.8351623,175.6021973,183.8761818,183.51
Columbia,13,75-79,16,Female,110.8134819,116.2851979,119.4024114,121.3674156,123.564679,132.14
Columbia,13,75-79,16,Male,100.7395599,105.6088195,108.5641812,114.8996897,124.857557,128.4
Columbia,13,80-84,17,Male,74.54728567,77.68291322,79.69180931,77.44303202,78.15001254,81.7
Columbia,13,80-84,17,Female,64.47328683,70.07018603,76.84362868,80.89399535,83.23081074,86.93
Columbia,13,40-44,18,Female,101.7469076,107.1119736,110.2494897,112.259392,116.4180166,109.79
Columbia,13,40-44,18,Male,122.9022548,122.9200449,123.5141615,120.3161164,117.6465998,113.52
Columbia,13,85+,18,Female,63.46395832,62.80183396,60.69349442,62.57486153,65.79521591,65.53
Columbia,13,85+,18,Male,46.34018974,46.45883085,43.87240119,49.02171016,49.28940045,53.97
Cowlitz,15,0-4,1,Female,3193,3091.43,3072.68,3056.64,3026.55,3021.59
Cowlitz,15,0-4,1,Male,3280,3212.79,3172.27,3137.26,3094.83,3059.59
Cowlitz,15,9-May,2,Female,3453,3376.82,3342.38,3295.57,3259.44,3238.1
Cowlitz,15,9-May,2,Male,3639,3553.63,3502.24,3430.52,3371.04,3331.4
Cowlitz,15,14-Oct,3,Male,3693,3683.8,3723.42,3721.29,3710,3670.14
Cowlitz,15,14-Oct,3,Female,3605,3580.08,3567.15,3543.89,3513.76,3467.54
Cowlitz,15,15-19,4,Male,3460,3487.77,3469.3,3514.2,3555.89,3583.68
Cowlitz,15,15-19,4,Female,3304,3358.12,3318.33,3386.56,3443.04,3473.87
Cowlitz,15,20-24,5,Female,2848,2927.68,2882.43,2941.64,2970.92,3040.29
Cowlitz,15,20-24,5,Male,2995,3028.05,2996.58,2955.55,2939.36,3009.2
Cowlitz,15,25-29,6,Male,3371,3280.4,3209.33,3201.54,3212.38,3246.04
Cowlitz,15,25-29,6,Female,3361,3226.53,3127.18,3055.21,3081.25,3126.58
Cowlitz,15,30-34,7,Female,3438,3557.23,3643.66,3641.08,3665.14,3607.92
Cowlitz,15,30-34,7,Male,3430,3606.48,3708.98,3743.87,3748.85,3701.45
Cowlitz,15,35-39,8,Male,3432,3550.29,3641.06,3667.69,3738.9,3791.31
Cowlitz,15,35-39,8,Female,3369,3457.33,3487,3514.66,3586.97,3665.91
Cowlitz,15,45-49,10,Male,3187,3143.12,3182.06,3285.13,3382.33,3423.76
Cowlitz,15,45-49,10,Female,3258,3167.9,3189.39,3288.65,3319.97,3318
Cowlitz,15,50-54,11,Female,3461,3446.8,3470.95,3398.95,3389.15,3340.39
